pokemon_name,pokedex_number,type1,type2,total_stats,hp,attack,defense,sp_attack,sp_defense,speed
Bulbasaur,1,Grass,Poison,318,45,49,49,65,65,45
Ivysaur,2,Grass,Poison,405,60,62,63,80,80,60
Venusaur,3,Grass,Poison,525,80,82,83,100,100,80
Charmander,4,Fire,,309,39,52,43,60,50,65
Charmeleon,5,Fire,,405,58,64,58,80,65,80
Charizard,6,Fire,Flying,534,78,84,78,109,85,100
Squirtle,7,Water,,314,44,48,65,50,64,43
Wartortle,8,Water,,405,59,63,80,65,80,58
Blastoise,9,Water,,530,79,83,100,85,105,78
Caterpie,10,Bug,,195,45,30,35,20,20,45
Metapod,11,Bug,,205,50,20,55,25,25,30
Butterfree,12,Bug,Flying,395,60,45,50,90,80,70
Weedle,13,Bug,Poison,195,40,35,30,20,20,50
Kakuna,14,Bug,Poison,205,45,25,50,25,25,35
Beedrill,15,Bug,Poison,395,65,90,40,45,80,75
Pidgey,16,Normal,Flying,251,40,45,40,35,35,56
Pidgeotto,17,Normal,Flying,349,63,60,55,50,50,71
Pidgeot,18,Normal,Flying,479,83,80,75,70,70,101
Rattata,19,Normal,,253,30,56,35,25,35,72
Raticate,20,Normal,,413,55,81,60,50,70,97
Spearow,21,Normal,Flying,262,40,60,30,31,31,70
Fearow,22,Normal,Flying,442,65,90,65,61,61,100
Ekans,23,Poison,,288,35,60,44,40,54,55
Arbok,24,Poison,,448,60,95,69,65,79,80
Pikachu,25,Electric,,320,35,55,40,50,50,90
Raichu,26,Electric,,485,60,90,55,90,80,110
Sandshrew,27,Ground,,300,50,75,85,20,30,40
Sandslash,28,Ground,,450,75,100,110,45,55,65
Nidoran♀,29,Poison,,275,55,47,52,40,40,41
Nidorina,30,Poison,,365,70,62,67,55,55,56
Nidoqueen,31,Poison,Ground,505,90,92,87,75,85,76
Nidoran♂,32,Poison,,273,46,57,40,40,40,50
Nidorino,33,Poison,,365,61,72,57,55,55,65
Nidoking,34,Poison,Ground,505,81,102,77,85,75,85
Clefairy,35,Fairy,,323,70,45,48,60,65,35
Clefable,36,Fairy,,483,95,70,73,95,90,60
Vulpix,37,Fire,,299,38,41,40,50,65,65
Ninetales,38,Fire,,505,73,76,75,81,100,100
Jigglypuff,39,Normal,Fairy,270,115,45,20,45,25,20
Wigglytuff,40,Normal,Fairy,435,140,70,45,85,50,45
Zubat,41,Poison,Flying,245,40,45,35,30,40,55
Golbat,42,Poison,Flying,455,75,80,70,65,75,90
Oddish,43,Grass,Poison,320,45,50,55,75,65,30
Gloom,44,Grass,Poison,395,60,65,70,85,75,40
Vileplume,45,Grass,Poison,490,75,80,85,110,90,50
Paras,46,Bug,Grass,285,35,70,55,45,55,25
Parasect,47,Bug,Grass,405,60,95,80,60,80,30
Venonat,48,Bug,Poison,305,60,55,50,40,55,45
Venomoth,49,Bug,Poison,450,70,65,60,90,75,90
Diglett,50,Ground,,265,10,55,25,35,45,95
Dugtrio,51,Ground,,425,35,100,50,50,70,120
Meowth,52,Normal,,290,40,45,35,40,40,90
Persian,53,Normal,,440,65,70,60,65,65,115
Psyduck,54,Water,,320,50,52,48,65,50,55
Golduck,55,Water,,500,80,82,78,95,80,85
Mankey,56,Fighting,,305,40,80,35,35,45,70
Primeape,57,Fighting,,455,65,105,60,60,70,95
Growlithe,58,Fire,,350,55,70,45,70,50,60
Arcanine,59,Fire,,555,90,110,80,100,80,95
Poliwag,60,Water,,300,40,50,40,40,40,90
Poliwhirl,61,Water,,385,65,65,65,50,50,90
Poliwrath,62,Water,Fighting,510,90,95,95,70,90,70
Abra,63,Psychic,,310,25,20,15,105,55,90
Kadabra,64,Psychic,,400,40,35,30,120,70,105
Alakazam,65,Psychic,,500,55,50,45,135,95,120
Machop,66,Fighting,,305,70,80,50,35,35,35
Machoke,67,Fighting,,405,80,100,70,50,60,45
Machamp,68,Fighting,,505,90,130,80,65,85,55
Bellsprout,69,Grass,Poison,300,50,75,35,70,30,40
Weepinbell,70,Grass,Poison,390,65,90,50,85,45,55
Victreebel,71,Grass,Poison,490,80,105,65,100,70,70
Tentacool,72,Water,Poison,335,40,40,35,50,100,70
Tentacruel,73,Water,Poison,515,80,70,65,80,120,100
Geodude,74,Rock,Ground,300,40,80,100,30,30,20
Graveler,75,Rock,Ground,390,55,95,115,45,45,35
Golem,76,Rock,Ground,495,80,120,130,55,65,45
Ponyta,77,Fire,,410,50,85,55,65,65,90
Rapidash,78,Fire,,500,65,100,70,80,80,105
Slowpoke,79,Water,Psychic,315,90,65,65,40,40,15
Slowbro,80,Water,Psychic,490,95,75,110,100,80,30
Magnemite,81,Electric,Steel,325,25,35,70,95,55,45
Magneton,82,Electric,Steel,465,50,60,95,120,70,70
Farfetch'd,83,Normal,Flying,377,52,90,55,58,62,60
Doduo,84,Normal,Flying,310,35,85,45,35,35,75
Dodrio,85,Normal,Flying,470,60,110,70,60,60,110
Seel,86,Water,,325,65,45,55,45,70,45
Dewgong,87,Water,Ice,475,90,70,80,70,95,70
Grimer,88,Poison,,325,80,80,50,40,50,25
Muk,89,Poison,,500,105,105,75,65,100,50
Shellder,90,Water,,305,30,65,100,45,25,40
Cloyster,91,Water,Ice,525,50,95,180,85,45,70
